LaptopID,Company,Product,TypeName,Inches,ScreenResolution,CPU,RAM,Memory,GPU,OS,Weight,Price in Rs
13,apple,macbook pro,ultrabook,15.4,ips panel retina display 2880x1800,intel core i7 2.8ghz,16,256gb ssd,amd radeon pro 555,macos,1.83kg,263516.75999999995
14,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,256gb ssd,amd radeon r5 m430,windows,2.2kg,53881.2
15,apple,"macbook 12""",ultrabook,12.0,ips panel retina display 2304x1440,intel core m m3 1.2ghz,8,256gb ssd,intel hd graphics 615,macos,0.92kg,136339.2
16,apple,macbook pro,ultrabook,13.3,ips panel retina display 2560x1600,intel core i5 2.3ghz,8,256gb ssd,intel iris plus graphics 640,macos,1.37kg,164003.4
17,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,amd radeon r5 m430,windows,2.2kg,80460.0
18,apple,macbook pro,ultrabook,15.4,ips panel retina display 2880x1800,intel core i7 2.9ghz,16,512gb ssd,amd radeon pro 560,macos,1.83kg,308664.0
19,lenovo,ideapad 320-15ikb,notebook,15.6,full hd 1920x1080,intel core i3 7100u 2.4ghz,8,1tb hdd,nvidia geforce 940mx,no os,2.2kg,53892.0
20,dell,xps 13,ultrabook,13.3,ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8,128gb ssd,intel uhd graphics 620,windows,1.22kg,105732.0
21,asus,vivobook e200ha,netbook,11.6,1366x768,intel atom x5-z8350 1.44ghz,2,32gb flash storage,intel hd graphics 400,windows,0.98kg,20725.2
22,lenovo,legion y520-15ikbn,gaming,15.6,ips panel full hd 1920x1080,intel core i5 7300hq 2.5ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,2.5kg,107892.0
23,hp,255 g6,notebook,15.6,1366x768,amd e-series e2-9000e 1.5ghz,4,500gb hdd,amd radeon r2,no os,1.86kg,27864.0
24,dell,inspiron 5379,2 in 1 convertible,13.3,full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.62kg,88452.0
25,hp,15-bs101nv (i7-8550u/8gb/256gb/fhd/w10),ultrabook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,intel hd graphics 620,windows,1.91kg,71172.0
26,dell,inspiron 3567,notebook,15.6,1366x768,intel core i3 6006u 2ghz,4,1tb hdd,intel hd graphics 520,windows,2.3kg,45213.12
27,apple,macbook air,ultrabook,13.3,1440x900,intel core i5 1.6ghz,8,128gb flash storage,intel hd graphics 6000,mac os x,1.35kg,118692.0
28,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,amd radeon 530,windows,2.2kg,86400.0
29,dell,latitude 5590,ultrabook,15.6,full hd 1920x1080,intel core i7 8650u 1.9ghz,8,256gb ssd +  256gb ssd,intel uhd graphics 620,windows,1.88kg,140184.0
30,hp,probook 470,notebook,17.3,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,1tb hdd,nvidia geforce 930mx,windows,2.5kg,96768.0
31,chuwi,"lapbook 15.6""",notebook,15.6,full hd 1920x1080,intel atom x5-z8300 1.44ghz,4,64gb flash storage,intel hd graphics,windows,1.89kg,26458.92
32,asus,e402wa-ga010t (e2-6110/2gb/32gb/w10),notebook,14.0,1366x768,amd e-series e2-6110 1.5ghz,2,32gb flash storage,amd radeon r2,windows,1.65kg,21492.0
33,hp,17-ak001nv (a6-9220/4gb/500gb/radeon,notebook,17.3,full hd 1920x1080,amd a6-series 9220 2.5ghz,4,500gb hdd,amd radeon 530,windows,2.71kg,47412.0
34,dell,xps 13,ultrabook,13.3,touchscreen / quad hd+ 3200x1800,intel core i7 8550u 1.8ghz,16,512gb ssd,intel uhd graphics 620,windows,1.2kg,201852.0
35,apple,macbook air,ultrabook,13.3,1440x900,intel core i5 1.6ghz,8,256gb flash storage,intel hd graphics 6000,mac os x,1.35kg,107784.0
36,lenovo,ideapad 120s-14iap,notebook,14.0,1366x768,intel celeron dual core n3350 1.1ghz,4,64gb flash storage,intel hd graphics 500,windows,1.44kg,26892.0
37,acer,aspire 3,notebook,15.6,1366x768,intel core i3 7130u 2.7ghz,4,1tb hdd,intel hd graphics 620,linux,2.1kg,39636.0
38,dell,inspiron 5770,notebook,17.3,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,128gb ssd +  1tb hdd,amd radeon 530,windows,2.8kg,105732.0
39,hp,250 g6,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,4,1tb hdd,intel hd graphics 620,windows,1.86kg,52778.52
40,hp,probook 450,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,nvidia geforce 930mx,windows,2.1kg,94932.0
41,asus,x540ua-dm186 (i3-6006u/4gb/1tb/fhd/linux),notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,1tb hdd,intel hd graphics 620,linux,2kg,42012.0
42,dell,inspiron 7577,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,2.65kg,161892.0
43,asus,x542uq-go005 (i5-7200u/8gb/1tb/geforce,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,8,1tb hdd,nvidia geforce 940mx,linux,2.3kg,56482.92
44,acer,aspire a515-51g,notebook,15.6,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,4,256gb ssd,intel uhd graphics 620,windows,2.2kg,73656.0
45,dell,inspiron 7773,2 in 1 convertible,17.3,full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,12,1tb hdd,nvidia geforce 150mx,windows,2.77kg,107892.0
46,apple,macbook pro,ultrabook,13.3,ips panel retina display 2560x1600,intel core i5 2.0ghz,8,256gb ssd,intel iris graphics 540,macos,1.37kg,153252.0
47,lenovo,ideapad 320-15isk,notebook,15.6,1366x768,intel core i3 6006u 2ghz,4,128gb ssd,intel hd graphics 520,no os,2.2kg,39852.0
48,asus,rog strix,gaming,17.3,full hd 1920x1080,amd ryzen 1700 3ghz,8,256gb ssd +  1tb hdd,amd radeon rx 580,windows,3.2kg,140292.0
49,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,4,256gb ssd,amd radeon r5 m430,windows,2.3kg,69012.0
50,asus,x751nv-ty001t (n4200/4gb/1tb/geforce,notebook,17.3,1366x768,intel pentium quad core n4200 1.1ghz,4,1tb hdd,nvidia geforce 920mx,windows,2.8kg,50328.0
51,lenovo,yoga book,2 in 1 convertible,10.1,ips panel touchscreen 1920x1200,intel atom x5-z8550 1.44ghz,4,64gb flash storage,intel hd graphics 400,android,0.69kg,34452.0
52,acer,aspire a515-51g,notebook,15.6,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,nvidia geforce mx150,windows,2.2kg,90828.0
53,hp,255 g6,notebook,15.6,full hd 1920x1080,amd a6-series 9220 2.5ghz,4,256gb ssd,amd radeon r4 graphics,windows,1.86kg,43036.92
54,hp,probook 430,notebook,13.3,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,512gb ssd,intel uhd graphics 620,windows,1.49kg,119124.0
55,acer,aspire 3,notebook,15.6,1366x768,intel core i3 7100u 2.4ghz,4,1tb hdd,intel hd graphics 620,windows,2.4kg,41472.0
56,dell,inspiron 3576,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,amd radeon 520,windows,2.13kg,82922.4
57,hp,15-bs002nv (i3-6006u/4gb/128gb/fhd/w10),notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,128gb ssd,intel hd graphics 520,windows,1.91kg,47412.0
58,asus,vivobook max,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,4,256gb ssd,intel hd graphics 620,windows,2kg,63308.52
59,msi,gs73vr 7rg,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  2tb hdd,nvidia geforce gtx 1070,windows,2.43kg,264492.0
60,asus,x541ua-dm1897 (i3-6006u/4gb/256gb/fhd/linux),notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,256gb ssd,intel hd graphics 520,linux,2kg,44820.0
61,dell,inspiron 5770,notebook,17.3,full hd 1920x1080,intel core i7 8550u 1.8ghz,16,256gb ssd +  2tb hdd,amd radeon 530,windows,2.8kg,140292.0
62,dell,vostro 5471,ultrabook,14.0,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.7kg,94932.0
63,lenovo,ideapad 520s-14ikb,notebook,14.0,ips panel full hd 1920x1080,intel core i3 7130u 2.7ghz,8,256gb ssd,intel hd graphics 620,no os,1.7kg,64692.0
64,asus,ux410ua-gv350t (i5-8250u/8gb/256gb/fhd/w10),notebook,14.0,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.4kg,101628.0
66,hp,250 g6,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.86kg,74520.0
67,asus,zenbook pro,ultrabook,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,512gb ssd,nvidia geforce gtx 1050 ti,windows,1.8kg,214164.0
68,hp,250 g6,notebook,15.6,1366x768,intel core i3 6006u 2ghz,4,500gb hdd,amd radeon 520,windows,1.86kg,47378.52
69,hp,stream 14-ax040wm,notebook,14.0,1366x768,intel celeron dual core n3060 1.6ghz,4,32gb ssd,intel hd graphics 400,windows,1.44kg,24732.0
70,lenovo,v310-15isk (i5-7200u/4gb/1tb/fhd/w10),notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,4,1tb hdd,intel hd graphics 620,windows,1.9kg,59292.0
71,asus,fx753ve-gc093 (i7-7700hq/12gb/1tb/geforce,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,12,1tb hdd,nvidia geforce gtx 1050 ti,linux,3kg,102492.0
72,microsoft,surface laptop,ultrabook,13.5,touchscreen 2256x1504,intel core i5 7200u 2.5ghz,4,128gb ssd,intel hd graphics 620,windows s,1.252kg,117612.0
73,dell,inspiron 5370,ultrabook,13.3,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,amd radeon 530,windows,1.4kg,103140.0
74,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,amd radeon 530,windows,2.2kg,93960.0
75,msi,gl72m 7rdx,gaming,17.3,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,2.7kg,118260.0
76,acer,aspire e5-475,notebook,14.0,1366x768,intel core i3 6006u 2ghz,8,1tb hdd,intel hd graphics 520,windows,2.1kg,42012.0
77,asus,fx503vd-e4022t (i7-7700hq/8gb/1tb/geforce,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,1tb hdd,nvidia geforce gtx 1050,windows,2.2kg,102492.0
78,lenovo,ideapad 320-15ikbn,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,2tb hdd,intel hd graphics 620,no os,2.2kg,56052.0
79,dell,inspiron 5570,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,128gb ssd +  1tb hdd,intel uhd graphics 620,windows,2.02kg,92340.0
80,acer,aspire a515-51g-32mx,notebook,15.6,full hd 1920x1080,intel core i3 7130u 2.7ghz,4,1tb hdd,nvidia geforce mx130,windows,2.2kg,57240.0
81,hp,probook 470,notebook,17.3,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,128gb ssd +  1tb hdd,nvidia geforce 930mx,windows,2.5kg,105516.0
82,dell,latitude 5590,ultrabook,15.6,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.88kg,118385.28
83,apple,"macbook 12""",ultrabook,12.0,ips panel retina display 2304x1440,intel core i5 1.3ghz,8,512gb ssd,intel hd graphics 615,macos,0.92kg,163080.0
84,hp,probook 440,notebook,14.0,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel hd graphics 620,windows,1.63kg,92880.0
85,lenovo,ideapad 320-15ast,notebook,15.6,full hd 1920x1080,amd a6-series 9220 2.5ghz,4,128gb ssd,amd r4 graphics,windows,2.2kg,43092.0
86,acer,aspire 3,notebook,15.6,1366x768,amd a9-series 9420 3ghz,4,1tb hdd,amd radeon r5,windows,2.1kg,42660.0
87,dell,inspiron 7577,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,128gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,2.65kg,145692.0
88,hp,pavilion 15-ck000nv,ultrabook,15.6,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,nvidia geforce gtx 940mx,windows,1.83kg,75492.0
89,hp,250 g6,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.96kg,64690.92
90,asus,fx503vm-e4007t (i7-7700hq/16gb/1tb,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,128gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,2.2kg,156492.0
91,dell,xps 13,ultrabook,13.3,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,intel uhd graphics 620,windows,1.21kg,178092.0
92,asus,fx550ik-dm018t (fx-9830p/8gb/1tb/radeon,gaming,15.6,full hd 1920x1080,amd fx 9830p 3ghz,8,1tb hdd,amd radeon rx 560,windows,2.45kg,75492.0
93,acer,aspire 5,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,1tb hdd,nvidia geforce mx150,windows,2.2kg,74412.0
94,hp,probook 430,notebook,13.3,full hd 1920x1080,intel core i7 8550u 1.8ghz,16,512gb ssd,intel uhd graphics 620,windows,1.49kg,129276.0
95,dell,inspiron 7577,gaming,15.6,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8,256gb ssd,nvidia geforce gtx 1060,windows,2.65kg,129060.0
96,asus,zenbook ux430ua,ultrabook,14.0,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,intel hd graphics 620,windows,1.25kg,113292.0
97,acer,spin 5,2 in 1 convertible,13.3,ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.5kg,91476.0
98,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,1tb hdd,amd radeon r5 m430,linux,2.2kg,64789.2
99,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,256gb ssd,amd radeon r5 m430,linux,2.2kg,52380.0
100,asus,x541uv-dm1439t (i3-7100u/6gb/256gb/geforce,notebook,15.6,full hd 1920x1080,intel core i3 7100u 2.4ghz,6,256gb ssd,nvidia geforce 920m,windows,2kg,62316.0
102,hp,omen 15-ce007nv,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,12,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,2.62kg,134892.0
103,hp,15-bs017nv (i7-7500u/8gb/256gb/radeon,notebook,15.6,full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,amd radeon 530,windows,1.91kg,77652.0
104,hp,15-bw000nv (e2-9000e/4gb/500gb/radeon,notebook,15.6,full hd 1920x1080,amd e-series e2-9000e 1.5ghz,4,500gb hdd,amd radeon r2,windows,2.1kg,37692.0
105,dell,inspiron 3576,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,1tb hdd,amd radeon 520,linux,2.2kg,69876.0
106,hp,envy 13-ad009n,ultrabook,13.3,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,nvidia geforce mx150,windows,1.38kg,120852.0
107,microsoft,surface laptop,ultrabook,13.5,touchscreen 2256x1504,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows s,1.252kg,144720.0
108,hp,pavilion 14-bk001nv,notebook,14.0,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,6,256gb ssd,nvidia geforce 940mx,windows,1.58kg,71172.0
109,lenovo,ideapad 310-15isk,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,1tb hdd,intel hd graphics 520,windows,1.85kg,44809.2
110,asus,ux430uq-gv209r (i7-7500u/8gb/256gb/geforce,ultrabook,14.0,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,nvidia geforce 940mx,windows,1.3kg,128844.0
111,msi,gp62m 7rex,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1050 ti,windows,2.2kg,140292.0
112,lenovo,thinkpad t470,notebook,14.0,ips panel full hd 1920x1080,intel core i7 7500u 2.7ghz,8,256gb ssd,intel hd graphics 620,windows,1.58kg,159840.0
113,asus,vivobook s15,ultrabook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce mx150,windows,1.5kg,136296.0
114,dell,xps 13,ultrabook,13.3,quad hd+ / touchscreen 3200x1800,intel core i7 7560u 2.4ghz,8,256gb ssd,intel iris plus graphics 640,windows,1.23kg,148932.0
115,lenovo,thinkpad yoga,2 in 1 convertible,13.3,ips panel full hd / touchscreen 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,intel hd graphics 620,windows,1.37kg,151092.0
116,hp,probook 440,notebook,14.0,ips panel 1366x768,intel core i5 8250u 1.6ghz,4,500gb hdd,intel uhd graphics 620,windows,1.63kg,77976.0
117,dell,xps 13,ultrabook,13.3,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.21kg,175932.0
118,hp,spectre x360,2 in 1 convertible,13.3,ips panel full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,1.26kg,151090.92
119,hp,probook 440,notebook,14.0,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,512gb ssd,intel uhd graphics 620,windows,1.63kg,117072.0
120,dell,inspiron 7570,notebook,15.6,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd +  1tb hdd,nvidia geforce 940mx,windows,2.16kg,122075.63999999998
121,asus,x705uv-bx074t (i3-6006u/4gb/1tb/geforce,notebook,17.3,full hd 1920x1080,intel core i3 6006u 2ghz,4,1tb hdd,nvidia geforce 920mx,windows,2kg,60912.0
122,asus,vivobook s15,notebook,15.6,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,nvidia geforce 940mx,windows,1.7kg,120744.0
123,acer,spin 3,notebook,15.6,ips panel full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,6,1tb hdd,intel hd graphics 620,windows,2.1kg,51732.0
124,msi,gs63vr 7rg,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  2tb hdd,nvidia geforce gtx 1070,windows,1.8kg,242082.0
125,lenovo,ideapad 320-15ikbn,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,8,256gb ssd,nvidia geforce 940mx,no os,2.2kg,67932.0
126,hp,probook 470,notebook,17.3,full hd 1920x1080,intel core i7 8550u 1.8ghz,16,512gb ssd,nvidia geforce 930mx,windows,2.5kg,137268.0
127,acer,aspire 3,notebook,15.6,1366x768,amd a9-series 9420 3ghz,4,256gb ssd,amd radeon r5,windows,2.1kg,48708.0
128,hp,250 g6,notebook,15.6,1366x768,intel celeron dual core n3060 1.6ghz,4,500gb hdd,intel hd graphics 400,no os,1.86kg,27972.0
129,hp,probook 440,notebook,14.0,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,1tb hdd,intel uhd graphics 620,windows,1.63kg,87696.0
130,asus,e402wa-ga007t (e2-6110/4gb/64gb/w10,notebook,14.0,1366x768,amd e-series 6110 1.5ghz,4,64gb ssd,amd radeon r2,windows s,1.65kg,30022.92
131,dell,inspiron 5770,notebook,17.3,full hd 1920x1080,intel core i7 8550u 1.8ghz,16,256gb ssd +  2tb hdd,amd radeon 530,windows,2.8kg,150768.0
132,hp,probook 470,notebook,17.3,full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel uhd graphics 620,windows,2.5kg,100224.0
133,dell,inspiron 5567,notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,8,1tb hdd,amd radeon r7 m445,windows,2.36kg,69010.92
134,dell,inspiron 3567,notebook,15.6,full hd 1920x1080,intel core i3 6006u 2ghz,4,1tb hdd,amd radeon r5 m430,windows,2.2kg,48492.0
135,acer,swift 3,ultrabook,14.0,ips panel full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,intel uhd graphics 620,windows,1.6kg,95472.0
136,acer,aspire a515-51g-37js,notebook,15.6,full hd 1920x1080,intel core i3 7130u 2.7ghz,4,256gb ssd,nvidia geforce mx130,windows,2.2kg,61776.0
137,hp,15-bs078nr (i7-7500u/8gb/1tb/w10),notebook,15.6,1366x768,intel core i7 7500u 2.7ghz,8,1tb hdd,intel hd graphics 620,windows,2.05kg,64584.0
138,hp,probook 440,notebook,14.0,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,intel uhd graphics 620,windows,1.63kg,106704.0
139,lenovo,v110-15iap (n3350/4gb/1tb/no,notebook,15.6,1366x768,intel celeron dual core n3350 1.1ghz,4,1tb hdd,intel hd graphics 500,no os,1.9kg,27254.88
140,asus,fx753vd-gc086t (i5-7300hq/8gb/1tb,gaming,17.3,full hd 1920x1080,intel core i5 7300hq 2.5ghz,8,128gb ssd +  1tb hdd,nvidia geforce gtx 1050,windows,3kg,101304.0
141,lenovo,ideapad 320-15ikbn,notebook,15.6,full hd 1920x1080,intel core i5 7200u 2.5ghz,4,1tb hdd,nvidia geforce 920mx,no os,2.2kg,53892.0
142,hp,envy 13-ad007nv,notebook,13.3,ips panel full hd 1920x1080,intel core i5 7200u 2.5ghz,4,256gb ssd,intel hd graphics 620,windows,1.32kg,75492.0
143,acer,aspire 5,notebook,17.3,ips panel full hd 1920x1080,intel core i3 7130u 2.7ghz,4,1tb hdd,nvidia geforce mx130,windows,3kg,70740.0
144,lenovo,thinkpad e480,notebook,14.0,ips panel full hd 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,amd radeon rx 550,windows,1.75kg,120530.16
145,lenovo,legion y520-15ikbn,gaming,15.6,ips panel full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,256gb ssd,nvidia geforce gtx 1050m,no os,2.4kg,93852.0
146,toshiba,satellite pro,notebook,15.6,1366x768,intel core i5 6200u 2.3ghz,4,500gb hdd,intel hd graphics 520,windows,2.1kg,65016.0
147,hp,255 g6,notebook,15.6,1366x768,amd a6-series 9220 2.5ghz,4,256gb ssd,amd radeon r4 graphics,windows,1.86kg,39852.0
148,asus,zenbook ux430ua,ultrabook,14.0,full hd 1920x1080,intel core i7 8550u 1.8ghz,8,256gb ssd,intel uhd graphics 620,windows,1.25kg,118692.0
149,hp,elitebook folio,ultrabook,12.5,ips panel 4k ultra hd / touchscreen 3840x2160,intel core m 6y75 1.2ghz,8,512gb ssd,intel hd graphics 515,windows,0.97kg,217512.0
150,asus,x541na (n3350/4gb/1tb/fhd/w10),notebook,15.6,full hd 1920x1080,intel celeron dual core n3350 1.1ghz,4,1tb hdd,intel hd graphics 500,windows,2kg,37152.0
151,msi,ge72mvr 7rg,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1070,windows,2.9kg,219132.0
152,acer,aspire a315-51,notebook,15.6,1366x768,intel core i3 6006u 2ghz,4,1tb hdd,intel hd graphics 520,windows,2.1kg,48276.0
153,dell,inspiron 5577,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,512gb ssd,nvidia geforce gtx 1050,windows,2.56kg,134920.08
154,dell,inspiron 7567,gaming,15.6,full hd 1920x1080,intel core i7 7700hq 2.8ghz,8,1.0tb hybrid,nvidia geforce gtx 1050,windows,2.62kg,97092.0
155,lenovo,v110-15ikb (i5-7200u/4gb/128gb/w10),notebook,15.6,1366x768,intel core i5 7200u 2.5ghz,4,128gb ssd,intel hd graphics 620,windows,1.9kg,53784.0
156,msi,ge73vr 7re,gaming,17.3,full hd 1920x1080,intel core i7 7700hq 2.8ghz,16,256gb ssd +  1tb hdd,nvidia geforce gtx 1060,windows,2.8kg,204120.0
157,hp,elitebook 840,ultrabook,14.0,full hd 1920x1080,intel core i5 7500u 2.7ghz,4,256gb ssd,intel hd graphics 620,windows,1.48kg,116856.0
158,hp,15-bs103nv (i5-8250u/6gb/256gb/radeon,notebook,15.6,full hd 1920x1080,intel core i5 8250u 1.6ghz,6,256gb ssd,amd radeon 520,windows,1.91kg,66852.0
159,lenovo,yoga 520-14ikb,2 in 1 convertible,14.0,ips panel full hd / touchscreen 1920x1080,intel core i3 7100u 2.4ghz,4,256gb ssd,intel hd graphics 620,windows,1.74kg,67932.0
160,asus,zenbook flip,2 in 1 convertible,13.3,full hd / touchscreen 1920x1080,intel core i5 8250u 1.6ghz,8,256gb ssd,intel hd graphics 620,windows,1.1kg,142020.0
